N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
250,1,0.9,0.75,0,0.7,rapi,yint,0.924,0.1429887413461835,-0.183555709633355,0.2969492460145424,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,tspa,yint,0.938,0.11170829251239169,-0.10672856564655786,0.10427423467660325,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,upi,yint,0.7765,0.17840645857515783,-0.3606129809907743,-0.12553742309609722,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.8,rapi,yint,0.927,0.096039946845084,-0.10951744961460608,0.16289875988912617,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,tspa,yint,0.9335,0.08533926001789136,-0.0738480620727554,-0.014210605755070249,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,upi,yint,0.837,0.10547593929990748,-0.2253253641422608,-0.2198102233078296,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.9,rapi,yint,0.9445,0.07159947664863497,-0.03283784839372905,0.092237841506486,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0,0.9,tspa,yint,0.944,0.06748144722602861,-0.0159973893876022,-0.04892505820616215,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0,0.9,upi,yint,0.913,0.0749558556929707,-0.10666886469719761,-0.21377107214977312,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0.3,0.7,rapi,yint,0.9045,0.13596118769355856,-0.22733481903224595,0.2798764549654517,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.7,tspa,yint,0.923,0.10447094869240844,-0.13201242555358628,0.09086171713757706,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.7,upi,yint,0.763,0.16593990517270404,-0.3764906222501898,-0.14642329788035754,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.75,0.3,0.8,rapi,yint,0.919,0.09283933923234053,-0.15416440608760962,0.1834150999265611,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.8,tspa,yint,0.9299999999999999,0.07898070381232034,-0.08296322997447136,0.006859563438687126,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.8,upi,yint,0.833,0.1059361626001398,-0.2868031180896241,-0.17178849098124793,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.75,0.3,0.9,rapi,yint,0.9425,0.06795372339992523,-0.05647120961981977,0.14599345380597656,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.75,0.3,0.9,tspa,yint,0.938,0.06455606295148561,-0.05344411744996358,0.006651858390708549,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.75,0.3,0.9,upi,yint,0.905,0.06854798141862914,-0.10241363852570795,-0.15330885893334142,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.75,0.6,0.7,rapi,yint,0.9015,0.1096074824719905,-0.21846538346553146,0.29688031974754736,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.75,0.6,0.7,tspa,yint,0.914,0.08881471808869128,-0.142499405901658,0.14509593609578236,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.75,0.6,0.7,upi,yint,0.783,0.3277225808893903,-0.7023786721576047,-0.022121596282214034,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.75,0.6,0.8,rapi,yint,0.914,0.07642798192209362,-0.14334108679211433,0.19920868560161523,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
250,1,0.9,0.75,0.6,0.8,tspa,yint,0.915,0.06861556364823643,-0.11732267399419383,0.023987197967450358,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
250,1,0.9,0.75,0.6,0.8,upi,yint,0.837,0.08361938369372969,-0.23682652622086087,-0.16353814774363234,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
250,1,0.9,0.75,0.6,0.9,rapi,yint,0.9305,0.05877657557476026,-0.07118705541157389,0.14588963315969905,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
250,1,0.9,0.75,0.6,0.9,tspa,yint,0.924,0.057214429456475785,-0.08860308980326992,0.005730344844581697,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
250,1,0.9,0.75,0.6,0.9,upi,yint,0.908,0.05971360818737171,-0.11343702254592614,-0.13961548135126461,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
250,1,0.9,0.8,0,0.7,rapi,yint,0.9339999999999999,0.14044321636545196,-0.20871853698346554,0.22876083635571315,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.8,0,0.7,tspa,yint,0.9339999999999999,0.10994877535249259,-0.11879791318724853,0.05289912972269306,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.8,0,0.7,upi,yint,0.7785,0.21176314523521533,-0.4268540875128124,-0.06127265383796159,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.8,0,0.8,rapi,yint,0.931,0.09204237950915257,-0.08861650734327942,0.15869155527245268,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.8,0,0.8,tspa,yint,0.941,0.08282137310961746,-0.05684142196017228,0.0029083732860685613,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.8,0,0.8,upi,yint,0.857,0.10356373411011295,-0.21053045071706433,-0.16476892661426934,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.8,0,0.9,rapi,yint,0.9359999999999999,0.07305214067800969,-0.057260380657875865,0.10984884753145478,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.8,0,0.9,tspa,yint,0.9385,0.06954959707658062,-0.04996890921642816,-0.007472626272809247,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.8,0,0.9,upi,yint,0.9135,0.07530167399075484,-0.11028238179659045,-0.10486867707733817,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.8,0.3,0.7,rapi,yint,0.917,0.13149611644813394,-0.22027417146584938,0.2684114199889133,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.8,0.3,0.7,tspa,yint,0.931,0.10273526470037479,-0.12921524807661755,0.10666145752158664,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.8,0.3,0.7,upi,yint,0.7985,0.17913387059821234,-0.38306500729982584,-0.033884844835804666,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
250,1,0.9,0.8,0.3,0.8,rapi,yint,0.9259999999999999,0.08762537021420834,-0.12594304919241084,0.17233266163737282,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.8,0.3,0.8,tspa,yint,0.929,0.07803145138924913,-0.08466782117665084,0.025898887814725654,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.8,0.3,0.8,upi,yint,0.855,0.09591444950011098,-0.21748735914563422,-0.14153283005898082,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
250,1,0.9,0.8,0.3,0.9,rapi,yint,0.928,0.06947845555026291,-0.09115428701915684,0.12257398005060768,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.8,0.3,0.9,tspa,yint,0.9225,0.06564607574363208,-0.07605297143795609,0.007950227053606533,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.8,0.3,0.9,upi,yint,0.9005,0.0713546815289972,-0.1387259200947597,-0.09622127296309452,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
250,1,0.9,0.8,0.6,0.7,rapi,yint,0.9005,0.10424590961558935,-0.21139480838781033,0.24410943444417477,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.8,0.6,0.7,tspa,yint,0.921,0.08393972288711962,-0.12093594323035917,0.09283168089656592,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.8,0.6,0.7,upi,yint,0.7895,0.13711780977233046,-0.3715551417073373,-0.052149236907391386,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.7
250,1,0.9,0.8,0.6,0.8,rapi,yint,0.9025,0.07503511177627052,-0.15322492565581447,0.1675886973526717,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.8
250,1,0.9,0.8,0.6,0.8,tspa,yint,0.9155,0.06834572417873713,-0.12227273178540221,0.04741691008382914,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.6,Reliability == 0.8
