N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
250,1,0.9,0.75,0,0.7,rapi,yint,0.9415,0.128464604158948,-0.1156108813124026,0.23988600694354584,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,tspa,yint,0.931,0.11262822911098748,-0.10531626637568303,0.08010726823816473,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.7,upi,yint,0.8355,0.12133183993844532,-0.29126358446504574,-0.3447596114904763,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
250,1,0.9,0.75,0,0.8,rapi,yint,0.9390000000000001,0.09069248347884507,-0.07680254607338177,0.16863007129015578,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,tspa,yint,0.9390000000000001,0.08534871677774737,-0.07318547471119685,0.04548320989233886,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.8,upi,yint,0.913,0.08395502764428202,-0.11648069245218817,-0.19111346949827082,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
250,1,0.9,0.75,0,0.9,rapi,yint,0.9390000000000001,0.07091710422523816,-0.03930199583208471,0.07585879037713245,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0,0.9,tspa,yint,0.9390000000000001,0.06878743079175614,-0.035426244383222394,-0.017678378690141446,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0,0.9,upi,yint,0.9345,0.0697554778389645,-0.05933534619607406,-0.13460684836839432,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
250,1,0.9,0.75,0.3,0.7,rapi,yint,0.9319999999999999,0.1187799212484972,-0.12365745350733037,0.3012657995019449,2000,italic(N) == 250,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
