N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.6,0.7,upi,yint,0.81,0.5240179912409832,-0.47304603826071245,0.01436656890901729,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,0.952,0.1294213215866286,-0.05568522090719896,0.1800355617945097,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,0.94,0.1176641303786524,-0.05178194750431275,0.03840730970211728,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yint,0.8734999999999999,0.15952248706189975,-0.23374263872914036,-0.12027149927120767,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.9,rapi,yint,0.9495,0.09985057233392647,-0.022203599754348158,0.10904340305564844,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yint,0.947,0.09645460819517519,-0.022849455692025233,0.025211679230495318,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yint,0.9265,0.10123426661394225,-0.04803275026510567,-0.09417235058798835,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.8,0,0.7,rapi,yint,0.969,0.4829691288260674,-0.4046267951788055,0.14082919090772242,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,tspa,yint,0.9545,0.25124494970511413,-0.16825652625692666,0.0722763464765852,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,yint,0.786,0.5075442661764665,-0.3969981730569163,0.009995668154974302,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.8,rapi,yint,0.954,0.16493897129749416,-0.07294323525279589,0.17952941962872557,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
