N,beta1,beta2,beta3,cor_xm,rel,method,par,coverage,rmse,rse_bias,std_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.6,0.7,upi,yint,0.901,0.33424157871738525,0.22824401239608938,0.1191052840251543,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,0.956,0.1338107459431311,-0.05731565015504825,0.22780966174188855,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,0.95,0.11954800320150502,-0.04526077720282784,0.08792398587230332,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yint,0.9295,0.150478140373876,-0.06138203728196645,0.10374166438704092,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.9,rapi,yint,0.95,0.09989167372794987,-0.02932832638538163,0.05802677752502505,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yint,0.9455,0.09687654380065888,-0.029614459000855464,-0.021308143468461896,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yint,0.946,0.10419349703268983,-0.027491956255174865,1.3977991322100777e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.8,0,0.7,rapi,yint,0.966,0.5653598512609965,0.20281719334738368,0.17347545753855806,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,tspa,yint,0.9555,0.20929856856716858,-0.07791026936111822,0.11836681777431393,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,yint,0.8935,0.5462139253442471,1.7537390378603033,0.05632611768903321,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.8,rapi,yint,0.954,0.1713748864077723,-0.09120328616920403,0.18749966239904817,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,tspa,yint,0.9465,0.14627901230032186,-0.06110006012996383,0.041673638962815056,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,upi,yint,0.921,0.18998414116484713,-0.08208122222999692,0.10533261353882802,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.9,rapi,yint,0.9410000000000001,0.12293835932226595,-0.05450559139610622,0.03824054929918334,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
