N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,outlier_se,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.3,0.8,upi,yint,1,0.926,5.6000000000000005,0.02169162857955732,-0.05697913991893433,0.21821404353814622,0.09987510628749173,0.006661010515710815,-0.09668692491484554,0.0016211982801837554,-0.3502597970206657,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.75,0.3,0.9,rapi,yint,1,0.9605,1.9,0.003165117506128059,0.04745372745739629,0.10304054436057275,0.03072402275642231,0.01236601418010033,0.03395819133923683,0.0026951617492199653,0.028433051440667878,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,yint,1,0.9485,1.5,-0.0032657988324001365,-0.013623937348377746,0.10118374846924792,-0.03228467301650547,-0.03371779889131229,-0.023575840820596272,-0.003597904673268537,-0.025313741138331514,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,yint,1,0.9475,2.75,2.4943170776912796e-4,-0.017131957891934113,0.11058407446118472,0.002255026120318701,-0.032878527669403704,-0.014296219326253579,-0.0032373150592453492,-0.04798812351924886,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.6,0.7,rapi,yint,1,0.964,9.049999999999999,0.04864980548088814,-0.5101209313785303,0.6687807319559305,0.07291903000211955,0.20087325789153113,0.14220445765752787,0.03116497930416512,-0.7448326445784237,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,yint,1,0.947,6.15,0.025262762022238556,-0.10445960742118532,0.17564531007886733,0.14530307911786625,0.08253054012956602,-0.05295091524573958,0.009992071787990331,-0.26939160593413547,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,yint,1,0.898,7.199999999999999,0.046996590508459994,6.74318799987589,0.4300082466949213,0.10992345346784603,-0.0037404968434882006,-0.0853815839962172,0.004457826263911113,-0.6062260299272799,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,1,0.972,4.55,0.016178770970086017,0.11952757314732243,0.11441301955527475,0.1428063517154989,0.13570776386673503,0.12327046270440234,0.012746683840481443,0.05579689766418028,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,1,0.948,3.05,0.0056088447864808605,-0.029044079781199716,0.1081112085772725,0.0519372981660779,0.017258532022382547,-5.804523245021009e-4,0.0025196392531068312,-0.058686624344498894,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yint,1,0.9325,5.2,0.015019983728703274,-0.0571312289316559,0.14177639240506573,0.10651429270929669,-0.0063676771790218065,-0.0791414176871359,0.002677065582190996,-0.1340699657414317,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
