N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,raw_bias,raw_rse_bias,rmse,robust_rse_bias,std_bias,stdMed_bias,trimm_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0.3,0.9,rapi,yint,1,0.9430000000000001,0.0029624514454114443,-0.060234133724211714,0.12205672809307638,0.41116965848947773,0.024272184939556032,-0.05065164089028109,-0.002516730785261323,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,tspa,yint,1,0.9495,-3.2141916927066674e-4,-0.03798311113004971,0.10998769455966761,0.44385697925122725,-0.0029216011648890467,-0.0378085375854279,-0.0025807115551849114,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.3,0.9,upi,yint,1,0.96,0.006099130392138042,5.608497400599877e-4,0.11413013710043761,0.5129410336734652,0.05350323048994603,0.010662533126824766,0.0033002001918714385,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.9
100,1,0.9,0.75,0.6,0.7,rapi,yint,1,0.892,0.0391862952983916,2.839557266554189,0.43876475643665164,0.34227787948005384,0.08964640131510421,-0.09634662613903103,-0.008099764089754435,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,tspa,yint,1,0.9515,0.028406013157683124,-0.12816101158491267,0.2184655936105434,0.3720659317423054,0.13110559569966096,0.053630036121280505,0.00968263667773056,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.7,upi,yint,1,0.9695,0.06789171512870103,0.01199049604147695,0.3601742204457331,0.6006599358222025,0.19188959855959253,0.2042233970349294,0.03440028125816719,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.7
100,1,0.9,0.75,0.6,0.8,rapi,yint,1,0.926,0.015289413452829307,-0.05892670753836193,0.15305562895116961,0.3838839098879252,0.10037156466546614,0.027530385825395885,0.004734238759436182,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,tspa,yint,1,0.9445,0.004249940370104115,-0.050720459558730835,0.11951825322428693,0.41121858355072516,0.03557252893773978,0.042036239505022374,0.001940327771052186,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.8,upi,yint,1,0.9625,0.015452007626134624,0.02671460434282613,0.13574362650163882,0.5798780159072512,0.11454839352039303,0.10931861092181208,0.013646230735214926,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.8
100,1,0.9,0.75,0.6,0.9,rapi,yint,1,0.9339999999999999,-0.001173619427062076,-0.05996920967770425,0.10739580917537474,0.39652920566070127,-0.010925901676789805,-0.03081256055648186,-0.003371864309153594,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,tspa,yint,1,0.9339999999999999,-0.0028793074998963823,-0.05986804239128074,0.0995729712440606,0.47540113357597824,-0.02892142107105871,-0.021250117907270598,-0.00317877344277534,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.75,0.6,0.9,upi,yint,1,0.9465,0.0013738467200494426,-0.0062721551470065195,0.1012241955880443,0.5464234511133708,0.013570171932644481,0.019043304133805006,7.443851784567079e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.6,Reliability == 0.9
100,1,0.9,0.8,0,0.7,rapi,yint,1,0.8815,0.0269678527026259,1.4388622199856624,0.5040833025179104,0.35779791942078654,0.053562131044055834,-0.16015172176087747,-0.027164325734750805,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,tspa,yint,1,0.95,0.01900384522929452,-0.04913433947208823,0.2549894496706869,0.3340234722633808,0.07471712645422504,-0.05446245932142587,-0.0042392881453947595,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.7,upi,yint,1,0.966,0.04758900884550539,-0.3102520931001569,0.7917949110945715,0.5939239954978339,0.06019649174386968,0.13518543210304068,0.0313542708408302,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.8,0,0.8,rapi,yint,1,0.9285,0.015140017728714188,-0.06831347697782186,0.18275178528813632,0.43380845209527674,0.08310968327262042,-0.021828174335644324,-0.0021837339335510353,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,tspa,yint,1,0.948,0.007889999854979068,-0.02369972612475779,0.1407980864363455,0.5412390279140027,0.05611185233961206,0.020817570666653115,0.002436692471023849,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.8,upi,yint,1,0.9725,0.02407100616406857,0.09301182603157332,0.151993313476411,0.6667182707574866,0.16035290230969335,0.11635628456818017,0.016736354952704646,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.8,0,0.9,rapi,yint,1,0.941,0.002506579004269354,-0.04139727299783036,0.12588419269472412,0.44050359182732657,0.01991075411653897,-0.044288918670835745,-0.003117206561824848,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.8,0,0.9,tspa,yint,1,0.942,9.67278223616376e-5,-0.03187519015846407,0.11612822101271983,0.4214545448680418,8.327318724526564e-4,-0.029649864903182385,-0.0016507743099085093,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.8,0,0.9,upi,yint,1,0.9535,0.0065879474376413305,0.009693210693909382,0.11913785621735781,0.4539759830528687,0.05536773285950419,0.02621973138561194,0.004879661534481217,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.8,0.3,0.7,rapi,yint,1,0.887,0.026795534783582486,6.2920069348232035,0.4032091254331934,0.32163440486186956,0.06658625649892444,-0.11533587034319866,-0.015954249264061138,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.7,tspa,yint,1,0.9505,0.02131952978177905,-0.10609591213834668,0.20499657639268581,0.3940861381865226,0.10454032501714369,0.007614738580800609,0.0038329279729314436,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.7,upi,yint,1,0.971,0.06484434129643915,0.2657489922074394,0.3074149070369754,0.6281104195238805,0.21573553377407412,0.16030132654804527,0.031821089056436935,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.8,0.3,0.8,rapi,yint,1,0.9275,0.020097093555265302,-0.09267429321748055,0.19252090869072858,0.3542617033211932,0.10493636392822489,-0.04143704674633532,1.1054710457825134e-4,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.8,tspa,yint,1,0.9525,0.008918550351464579,-0.05910453003782523,0.13698126476278133,0.4055560731971781,0.06522993497172931,0.02446851016654743,0.004456145258737443,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.8,upi,yint,1,0.9665,0.024839983942953996,0.04555747669041765,0.15137381349460757,0.5499625718337353,0.1663104078895238,0.1263007368845765,0.018307044239071812,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.8
100,1,0.9,0.8,0.3,0.9,rapi,yint,1,0.9395,-2.4700202280559623e-5,-0.04352193533897386,0.11876136633992182,0.4427802564796288,-2.079297986630865e-4,-0.007475319073923474,-0.001559603515619623,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.8,Correlation_XM == 0.3,Reliability == 0.9
