N,beta1,beta2,beta3,cor_xm,rel,method,par,convergence_rate,coverage,MAD,MeanSE,MedianSE,outlier_se,raw_bias,raw_rse_bias,rmse,SD,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,REPLICATIONS,N_lab,beta1_lab,beta2_lab,beta3_lab,cor_xm_lab,rel_lab
100,1,0.9,0.75,0,0.7,rapi,yint,1,0.9675,0.19757293007981455,0.6386920604766505,0.21214674100937647,10.9,0.08352541099552661,0.06415000502265844,0.6058252789581986,0.6001898768614403,0.1391649779771432,0.23150126229584136,0.07376420911343695,0.054220446288705926,-0.6243515681405318,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,tspa,yint,1,0.948,0.16879842310562684,0.26730145376326947,0.15518114511820852,8.05,0.0437856672888176,-0.1621980707453603,0.3219623585247579,0.3190508930924489,0.13723725034717324,0.05520348972912423,-0.08067183174393289,0.012507614306927928,-0.4968849148967809,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.7,upi,yint,1,0.879,0.2183648104039203,0.5252533885901787,0.19320538004761595,8.15,0.052248386121722154,0.34221261583728935,0.39470950972987007,0.3913339678024997,0.1335135470481089,-0.06087129225824569,-0.11521742129496826,-0.002546222954833699,-0.47241729482455064,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.7
100,1,0.9,0.75,0,0.8,rapi,yint,1,0.9715,0.14295515599235284,0.16455584543116217,0.14834223567769367,5.4,0.027513689359861603,0.049079015951611904,0.1592135561138812,0.15685743678887215,0.1754057054807967,0.14715928582748897,0.0376837033120303,0.02217204290654573,-0.038713214091951276,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,tspa,yint,1,0.9455,0.13518765058767532,0.13403356281277679,0.12747918880925413,3.55,0.008775151089760893,-0.09167547073795324,0.14778517537040656,0.14756131591169308,0.05946782891941898,0.01966566832101181,-0.05702045819208834,0.005656042243993187,-0.13278957921813217,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.8,upi,yint,1,0.913,0.1626521762205006,0.1740768400904102,0.14808093281600893,5.8500000000000005,0.02658682858642331,-0.13759270198447493,0.2035433027187606,0.20184991533696003,0.1317158272870233,0.018755602414014604,-0.08958529632421308,0.0064769439937871764,-0.2444301884680693,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.8
100,1,0.9,0.75,0,0.9,rapi,yint,1,0.9645,0.11533706486198618,0.11726422408375874,0.11375016898519497,1.9,0.009504395192602776,0.005904957153946677,0.11693360108197783,0.11657584869204722,0.0815297104781117,0.06748733240221848,-0.013758767649325154,0.00753806174771382,-0.016544820800962756,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,tspa,yint,1,0.948,0.11496366703623842,0.10852471556302436,0.10646693804056247,1.3,0.0025908430668725667,-0.04919330774220876,0.11414049079422868,0.11413962106779131,0.022698893185686894,0.025362032930184398,-0.07390795035267661,0.0010100247203879698,-0.06314674130777076,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0,0.9,upi,yint,1,0.9455,0.12190100852880859,0.11743345998897059,0.1125497186553814,3.45,0.005010519355614446,-0.06475232568248335,0.12563258287603368,0.12556402246567033,0.03990410037225725,-0.00692470890940449,-0.07671216166531736,-9.948676967003744e-4,-0.09820862521875706,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0,Reliability == 0.9
100,1,0.9,0.75,0.3,0.7,rapi,yint,1,0.9705,0.1761144645371093,0.3703413548263946,0.1949269164848254,9.1,0.07986205160048461,-0.11246293643299488,0.42473989892651814,0.41726860773340024,0.19139242713295548,0.20591456116488088,0.10681945970288043,0.04304908327294804,-0.5036659926365932,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,tspa,yint,1,0.955,0.15395530486734038,0.17840926540981522,0.14573159262496566,6.8500000000000005,0.0321544754086551,-0.10589598653487242,0.2020645998275477,0.1995397210201357,0.16114323125374289,0.07631046413350515,-0.05341623173986054,0.012193888162892852,-0.24611558197474537,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
100,1,0.9,0.75,0.3,0.7,upi,yint,1,0.8875,0.2129894660002945,0.70158698016358,0.18286369671687008,8.4,0.04980794291132995,0.7808945183119602,0.3969904539304136,0.3939520128505908,0.12643149745809265,-0.028742160817767277,-0.14144253163854947,-8.111249114915453e-4,-0.5101235739127359,2000,italic(N) == 100,\beta_{1} == 1,\beta_{1} == 0.9,\beta_{1} == 0.75,Correlation_XM == 0.3,Reliability == 0.7
