true_rel,no_adj_rel,adj_rel,quadratic,no_adj_rel_bc,adj_rel_bc,quadratic_bc
0.8931224,0.9129114,0.9064745,0.9045319,0.9075548,0.901546,0.8995793
0.8555967,0.9284071,0.9200147,0.9179819,0.9218923,0.9140897,0.9119428
0.8814054,0.8775883,0.8694081,0.8658726,0.8701113,0.8625343,0.8590549
0.9055182,0.8647152,0.8561009,0.8519176,0.858174,0.8500856,0.8460391
0.8506725,0.8782523,0.8669444,0.8620728,0.8680452,0.8573307,0.8524846
0.843075,0.8447913,0.8374018,0.8330924,0.8397775,0.8328464,0.8287836
0.8719232,0.9060607,0.892892,0.8886242,0.8893897,0.8769199,0.872177
0.7968766,0.9182721,0.9079738,0.9051146,0.9060892,0.8964591,0.8933519
0.8927341,0.8497461,0.8400686,0.8347161,0.8450753,0.8359544,0.8309586
0.8882544,0.9380713,0.9317552,0.9304073,0.9320651,0.926293,0.9248479
0.9250067,0.8896275,0.8843587,0.8822393,0.8864098,0.8815093,0.8794923
0.8408064,0.9662016,0.9527136,0.9509831,0.9547003,0.942141,0.9401027
0.8609884,0.8119918,0.7987675,0.7886955,0.7976535,0.7846313,0.7744416
0.8707131,0.8834273,0.8757316,0.8725956,0.8777402,0.8704712,0.8673841
0.8333641,0.9245405,0.9142838,0.911672,0.915399,0.9057873,0.9030599
0.884716,0.8920506,0.8873239,0.885431,0.8896771,0.8853122,0.8835401
0.8571797,0.8750503,0.8670479,0.8634918,0.8694327,0.8618851,0.8583954
0.8276461,0.8531879,0.8433611,0.8380948,0.8465436,0.837084,0.8319426
0.8382509,0.9026978,0.8969626,0.8949807,0.8991279,0.8938532,0.8919576
0.8766487,0.9039224,0.8963214,0.8938136,0.8965555,0.8894818,0.8869381
0.8232433,0.8710892,0.8649612,0.8620765,0.8658326,0.860078,0.8573064
0.9027146,0.8816094,0.875277,0.8725886,0.8770804,0.8711963,0.8686227
0.8732493,0.8699981,0.8606503,0.8563394,0.8629508,0.8540976,0.8498761
0.8425868,0.8811498,0.871122,0.8669438,0.8692036,0.8596916,0.8553064
0.9012544,0.8896303,0.8825557,0.8798202,0.8838066,0.877258,0.8745866
0.9066063,0.8953589,0.8893624,0.8871329,0.8921765,0.8866801,0.8845704
0.8740283,0.9623539,0.950225,0.9485631,0.9531465,0.9417478,0.9398429
0.8221666,0.8331373,0.8234477,0.8172956,0.8268748,0.8176034,0.8117454
0.8896648,0.8686801,0.8578463,0.8527686,0.8605564,0.8502181,0.8452262
0.9103609,0.943758,0.9362967,0.9348728,0.9387963,0.9319803,0.9304991
0.8765617,0.8721747,0.8650479,0.8617795,0.868436,0.8618203,0.8587683
0.8708541,0.8753558,0.8678242,0.8644754,0.8689738,0.8618937,0.858617
0.8762699,0.9291881,0.9215733,0.9197486,0.921175,0.9140903,0.9121133
0.8886884,0.9359892,0.9236774,0.9209603,0.9280233,0.9164641,0.9136908
0.8246755,0.8843805,0.8770162,0.8740331,0.8786757,0.8717465,0.8688154
0.8993285,0.8599456,0.8527642,0.8490758,0.8552816,0.848454,0.8449004
0.9144753,0.9044654,0.8971084,0.8946934,0.8967013,0.8897839,0.8872788
0.88589,0.8677006,0.8598998,0.8561873,0.8618306,0.8545292,0.8509952
0.8746401,0.9292505,0.9188508,0.9163666,0.916789,0.9071992,0.9044034
0.8941751,0.89274,0.8833904,0.8799342,0.8833545,0.8744603,0.8708709
0.8753999,0.883846,0.8743447,0.8705158,0.8776111,0.8684784,0.8646611
0.8708222,0.8806643,0.8742732,0.8715439,0.8766062,0.8706255,0.8680325
0.8364025,0.8396754,0.8312072,0.8261029,0.8329263,0.8249674,0.8201168
0.8900639,0.8788379,0.8708837,0.86748,0.8718625,0.8643491,0.8609991
0.8456762,0.8684377,0.8613114,0.8579246,0.8625038,0.8558989,0.8526811
0.8677696,0.8742201,0.8666746,0.8632991,0.8679762,0.8609422,0.8576685
0.8934244,0.9182991,0.91061,0.9084725,0.9096564,0.9024574,0.9001694
0.8774192,0.9173753,0.9095259,0.9073255,0.9126688,0.9050521,0.9027858
0.9000831,0.8736986,0.8674383,0.8645648,0.8695379,0.8636566,0.8609147
0.8447332,0.8701842,0.8591143,0.85399,0.8595761,0.8491292,0.8440233
0.8584783,0.8716319,0.8631115,0.8592348,0.8624092,0.8544672,0.8506208
0.8557427,0.9039691,0.8931413,0.8896272,0.8941163,0.8838,0.8801695
0.8846571,0.8828481,0.8768666,0.8743395,0.8780863,0.8725598,0.8701484
0.8581376,0.8834083,0.875897,0.8728124,0.8763976,0.8695548,0.866544
0.8934344,0.8932335,0.8873096,0.8850562,0.8890437,0.8835391,0.8813699
0.9135788,0.8844255,0.8785487,0.8760988,0.8786618,0.8731777,0.8707639
0.8765055,0.8892267,0.8843008,0.8822875,0.8854773,0.8809173,0.8789948
0.8752623,0.8871347,0.8793924,0.8763425,0.8800665,0.8727923,0.8697312
0.9253211,0.938543,0.9331826,0.9320221,0.930179,0.9254273,0.9241621
0.9076154,0.9422824,0.9329549,0.9311401,0.9288736,0.9203237,0.9181555
0.9097241,0.927813,0.9230781,0.921845,0.9236183,0.9193654,0.918139
0.9001628,0.9105286,0.9037201,0.901614,0.9054397,0.8992365,0.8971518
0.8762917,0.903367,0.8973201,0.8952606,0.8987679,0.8931561,0.891121
0.8826559,0.8786445,0.8720587,0.8692007,0.8742133,0.8680521,0.8653099
0.894604,0.8986137,0.8917265,0.8893085,0.8936154,0.8871186,0.8847401
0.8505977,0.9167589,0.9077657,0.9052253,0.9080844,0.8998236,0.8971931
0.8602221,0.8966736,0.8856504,0.8817319,0.8843,0.874001,0.8699333
0.8783624,0.8778258,0.8657828,0.8605804,0.8688061,0.8573351,0.8521821
0.8730817,0.8821063,0.8742806,0.8710456,0.8750381,0.8676599,0.8644478
0.8038551,0.9032156,0.8905392,0.8862959,0.8887501,0.8768184,0.8723721
0.8817497,0.9182438,0.9127504,0.911168,0.914876,0.9098091,0.908271
0.8919138,0.8587565,0.8502796,0.8459217,0.8507583,0.8424943,0.838081
0.8970638,0.882596,0.8760327,0.873288,0.8773137,0.8710957,0.868405
0.8618669,0.8734994,0.8645652,0.8605963,0.8672956,0.8588807,0.855038
0.8709309,0.9016116,0.8909685,0.887371,0.8897752,0.8796801,0.8758569
0.8725607,0.8778489,0.8705808,0.8674336,0.873847,0.8672347,0.8643164
0.8571761,0.8697262,0.861526,0.857702,0.8654232,0.857532,0.8538442
0.8952653,0.8619495,0.8549212,0.8513747,0.8574338,0.8508563,0.8475123
0.7948616,0.9168994,0.9049852,0.9016,0.9025802,0.8915995,0.8879206
0.866812,0.855977,0.8454533,0.8399386,0.8477738,0.8376005,0.8321174
0.8035112,0.8214751,0.8115883,0.8046795,0.8121676,0.8025372,0.7956921
0.8938266,0.8621073,0.8522967,0.8474377,0.8549501,0.8456234,0.8408542
0.9014423,0.9256389,0.91983,0.9183281,0.9203677,0.9149665,0.9134408
0.8593798,0.823188,0.8142923,0.8081606,0.8151707,0.8065825,0.8006199
0.8671565,0.8223303,0.812955,0.8064548,0.8167859,0.8078667,0.8019159
0.8620711,0.8716456,0.8656249,0.8627991,0.8676824,0.8620371,0.8593598
0.8062643,0.8281171,0.8132916,0.8031878,0.8185075,0.8038849,0.7944386
0.8760069,0.9361584,0.9269978,0.9250161,0.9259477,0.9174401,0.9152342
0.8462253,0.8601477,0.8520747,0.8479809,0.8548367,0.847217,0.8432898
0.8909686,0.9062552,0.8983976,0.8958949,0.8996805,0.8923605,0.8898508
0.869376,0.8883822,0.8822937,0.8798699,0.8821764,0.8764737,0.8740812
0.8582219,0.8348016,0.8257795,0.8201304,0.826722,0.8179602,0.8123334
0.8827932,0.8762949,0.8686882,0.8653388,0.871072,0.8638534,0.8605627
0.843133,0.8569355,0.8428583,0.8353981,0.8410873,0.8274865,0.8199238
0.8962115,0.8836045,0.8771404,0.8744571,0.8791432,0.8730948,0.8704882
0.9084869,0.912637,0.9073765,0.9057355,0.9078085,0.903033,0.9014261
